id,name,kcal,sat_FAT,protein,fat,trans_FAT,sodium,sugars,caffeine,cholesterol,chabo,product_cd
0,나이트로 바닐라 크림,80,2,1,2.7,0,40,10,232,5,10,9200000002487
1,나이트로 콜드 브루,5,0,0,0,0,5,0,245,0,0,9200000000479
2,돌체 콜드 브루,265,9,8,12,0,130,29,150,25,29,9200000002081
3,바닐라 크림 콜드 브루,125,6,3,8,0,58,11,150,10,11,9200000000487
4,벨벳 다크 모카 나이트로,150,6,2,7,0,15,17,190,5,20,9200000003509
5,시그니처 더 블랙 콜드 브루,25,0,0,0,0,50,0,680,0,0,9200000003661
6,제주 비자림 콜드 브루,340,8,10,12,0,140,43,105,25,46,9200000002672
7,콜드 브루,5,0,0,0,0,11,0,150,0,0,9200000000038
8,콜드 브루 몰트,505,20,7,30,0,150,41,190,40,51,9200000001636
9,콜드 브루 오트 라떼,105,0.3,1,3.6,0,95,11,65,0,16,9200000003285
10,콜드 브루 플로트,225,10,3,15,0,70,18,190,20,21,9200000001635
11,프렌치 애플 타르트 나이트로,80,0,0,0,0,0,19,190,0,20,9200000003507
12,아이스 커피,5,0,0,0,0,10,0,140,0,0,106509
13,오늘의 커피,5,0,0,0,0,10,0,260,0,0,2
14,에스프레소 콘 파나,30,1.5,0,2.5,0,0,1,75,10,2,30
15,에스프레소 마키아또,10,0,1,0,0,0,0,75,0,1,25
16,아이스 카페 아메리카노,10,0,1,0,0,5,0,150,0,2,110563
17,카페 아메리카노,10,0,1,0,0,5,0,150,0,2,94
18,아이스 카라멜 마키아또,190,4.6,6,8,0,110,22,75,20,23,110582
19,카라멜 마키아또,200,5,8,9,0,130,22,75,25,24,126197
20,아이스 카푸치노,115,3.5,6,6,0,90,9,75,20,10,110601
21,카푸치노,110,3,6,6,0,70,8,75,15,9,38
22,라벤더 카페 브레베,400,22,8,27,0,140,30,105,25,31,9200000000432
23,럼 샷 코르타도,70,1.8,3,3,0,45,8,160,10,8,9200000001086
24,바닐라 빈 라떼,245,6,9,9,0,150,27,210,30,29,9200000001939
25,블론드 에스프레소 라떼,330,11,11,16,0,180,32,91,35,35,9200000003481
26,사케라또 비안코 오버 아이스,270,18,3,21,0,45,14,315,10,17,9200000002095
27,스타벅스 돌체 라떼,255,2.6,12,4.2,0.3,190,39,150,15,42,128692
28,아이스 라벤더 카페 브레베,335,18,6,22,0,110,27,105,20,28,9200000000433
29,아이스 바닐라 빈 라떼,155,2.9,5,4.8,0,75,20,210,15,22,9200000001941
30,아이스 블론드 에스프레소 라떼,220,8,6,10,0,90,23,91,20,26,9200000003484
31,아이스 스타벅스 돌체 라떼,230,2.5,10,4,0.3,145,35,150,15,38,128695
32,아이스 카페 라떼,110,3.5,6,6,0,75,8,75,20,9,110569
33,카페 라떼,180,5,10,9,0,115,13,75,30,14,41
34,아이스 카페 모카,250,8,7,14,0,70,21,95,45,28,110566
35,아이스 화이트 초콜릿 모카,260,8,7,13,0,75,27,75,15,29,110572
36,카페 모카,290,9,10,15,0,105,25,95,45,33,46
37,화이트 초콜릿 모카,345,11,11,18,0,150,35,75,30,36,128192
38,바닐라 플랫 화이트,220,5,9,8,0,130,23,260,25,27,9200000002406
39,바닐라 스타벅스 더블 샷,125,4.5,2,6,0,30,14,150,5,16,110612
40,블론드 바닐라 더블 샷 마키아또,315,12,8,16,0,130,31,170,25,34,9200000002950
41,사케라또 아포가토,290,10,4,15,0,70,30,210,20,36,9200000003505
42,스파클링 시트러스 에스프레소,65,0,0,0,0,5,15,105,0,16,9200000003506
43,아이스 블론드 바닐라 더블 샷 마키아또,195,6,5,8,0,65,22,170,15,25,9200000002953
44,에스프레소,5,0,0,0,0,0,0,75,0,1,20
45,커피 스타벅스 더블 샷,125,5,3,6,0.1,28.5,14,150,5.4,15,110611
46,클래식 아포가토,240,10,4,15,0,70,18,210,20,23,9200000001631
47,헤이즐넛 스타벅스 더블 샷,125,5,3,6,0.1,28.5,14,150,5.4,15,110614
48,봄 딸기 그린 크림 프라푸치노,425,8,8,12,0,240,70,15,25,71,9200000003814
49,더블 에스프레소 칩 프라푸치노,265,11,4,13,0,140,31,130,10,33,9200000002760
50,모카 프라푸치노,280,6,5,11,0,180,36,90,40,43,168004
51,에스프레소 프라푸치노,145,1.1,2,1.7,0,115,29,120,5,30,168007
